SYMBOL	1_08_AD-F	10_11_AD-F	11_12_Normal-M	26_05_Normal-M	39_08_AD-M	39_10_AD-M	4_05_Normal-M
FOXA3	5.037137404	5.037137404	5.012795435	5.12486858	5.118968976	5.004720193	5.122622048
LMOD2	5.186047216	5.186393012	5.164718022	5.416093631	4.987356374	4.985487768	4.899566399
WNT9B	5.334379619	5.342305026	5.30258327	5.087670397	5.010120839	5.135308056	4.711940133
GBP1P1	5.676783669	4.903503666	5.180420562	4.993300958	4.956746176	5.077437988	4.914456436
KCNE1	5.365991755	4.786778141	5.099943916	5.246015949	5.099943916	5.016937978	5.080383778
COL25A1	5.32393248	5.07950911	5.07950911	5.07950911	5.078403481	4.999961011	5.034613431
LOC285847	5.299618389	5.272291044	5.166334691	5.159465761	5.132901229	4.949549743	5.067228997
JAZF1-AS1	4.066302278	4.728522355	4.24188886	4.130617612	4.978626206	4.874882902	6.344283386
LINC00441	5.066924124	5.02264153	5.174272183	4.969599316	5.027635146	5.155361569	5.171520039
ZNF547	4.69279965	5.016010104	5.144555376	5.030550385	5.4316275	5.066924124	4.927990109
LOC100506860	5.317599075	5.137707724	5.027301042	5.027301042	4.90081862	5.164093817	4.9221991
CYP2C19	4.992187083	5.037137404	5.1489818	5.141866865	5.001465955	4.958522422	5.108720229
AZGP1P1	5.354257099	4.983116479	5.250567566	5.180588749	4.960004619	5.227633762	4.839518318
LOC101929116	5.018484829	5.297678934	4.953408964	5.2614916	5.050731744	5.100172496	4.906235966
KRTAP1-1	5.393316978	5.002971386	5.152371976	5.24392825	5.044513305	4.987714671	4.722530759
HOXD10	5.097442133	4.99013408	5.244152089	5.167550383	4.959006723	5.036855164	5.097442133
ADGRF1	5.458070607	5.064720767	5.277808222	5.062289723	4.995958488	5.017704637	4.884407784
CARS-AS1	5.370856284	4.986155776	5.113128585	5.134615765	5.057738602	5.028832537	4.979043834
ADAMTS19	5.356629703	4.803230522	5.236424872	5.025060326	5.031102276	5.099450064	4.826875521
LOR	5.265206866	4.939172304	5.066924124	5.195222041	5.066924124	4.87151628	5.092344156
SIRPG	5.093074592	5.229577701	5.314839263	5.387031676	4.921132691	5.104032928	4.733015368
LINC00540	5.410868812	5.117466815	5.372425548	5.074880157	5.140834532	5.279333005	4.740187676
IL19	5.138413195	5.130172262	5.417041152	5.153672098	5.090720593	4.948285858	4.842986625
RBMY3AP	5.202423084	5.029399952	5.027301042	5.179679861	5.027301042	5.027301042	4.986310715
TAF1A-AS1	4.902679895	4.969095917	4.886048835	5.02216125	4.961733299	4.936661511	5.122793575
DPH3P1	5.333359668	5.001652042	5.077204132	4.966161259	5.001652042	5.039447461	5.064415272
APOB	5.15648261	5.199596472	5.181845428	5.049300656	4.924757966	5.194903545	4.881420737
SLC14A2-AS1	5.289655214	4.972977166	5.301339451	5.181201096	5.031102276	5.109051125	4.686834377
GAS2L3	4.76283544	4.983563867	5.971955146	4.444137369	4.830500239	4.731458945	6.302848429
LOC102723645	4.865783212	5.017704637	5.244768643	5.212597377	4.812194674	5.105182955	4.866725671
MIRLET7DHG	5.100062249	5.004726484	5.229998623	5.012440769	4.977730513	5.267576182	4.964271723
RS1	5.45316481	5.052378831	5.228534722	5.052378831	4.885617404	4.923933866	4.947400721
ANXA2P3	5.055166713	5.022094592	5.337708636	5.558836559	4.97207889	5.006532521	4.818763799
LOC286068	5.07326564	5.026425452	5.183457686	5.273245506	5.109351764	5.087379115	4.98917348
NPCDR1	5.343211002	5.10345077	5.258805661	5.052841829	5.027301042	5.027301042	4.722424085
PROSER2-AS1	5.298380034	5.067973435	5.299432633	4.835714708	4.829461258	5.132903876	4.91045707
LOC150005	5.623342005	5.135462862	5.159929848	5.348102305	5.031463331	5.050941077	5.002971386
C11orf85	5.161638226	4.969095917	5.19354922	5.298727191	4.969095917	5.175960774	4.890871498
TEX26-AS1	5.226227396	4.984182102	5.008122324	5.090803898	5.197812721	5.146438981	4.760174257
IL1R2	5.732309214	4.658704185	5.211457714	5.783752124	4.934939345	4.94574368	4.385860169
IFNA21	4.923892628	4.850201216	5.293355747	5.337273652	4.980447645	5.123373906	5.08991572
LRRC37A5P	5.095614756	5.052369523	4.996730479	4.976092751	4.996730479	5.21153876	4.904732237
KRT31	5.111449236	4.839608276	5.187636622	5.387626991	5.117410992	5.081430578	4.845952722
MACC1	4.879903759	5.164801802	5.066924124	5.113816725	5.01932815	5.102739394	5.085073597
TMEM207	5.035640254	4.992317027	5.013699145	5.190716231	5.013699145	5.318112048	5.013699145
LINC00452	5.035604556	4.793314582	5.244152089	4.938087014	4.754329797	5.177185022	5.235294627
CYP11B1	5.843711119	4.90793429	5.139223305	5.098712765	4.879369069	5.027301042	4.957025696
WDR72	5.636174203	5.037137404	5.083069793	5.096559503	4.936005648	4.936005648	4.858129568
